Annotator1	Annotator2	Resolve1&2	Paragraph
D0	D1	D1	II. BACKGROUND You will be meeting with 25 leaders from government, business, education, and the scientific community to discuss how the nation should respond to recent findings from the Third International Math and Science Study (TIMSS) that while U.S. 4th graders are near the first in the world in science and above average in math, U.S. 12th graders lag below the international average in both subjects.
D0	D1	D1	"These results demonstrate the importance of implementing your education agenda, including proposals for: national standards and tests in math and reading, smaller classes with well-prepared teachers, modem school buildings, Education Opportunity Zones to end social promotions and fix failing schools, technologically advanced schools, and ""High Hopes"" mentoring to encourage students to take tough classes and prepare for college."
D0	D1	D1	In addition to reiterating your legislative proposals, you will issue the following new challenges to boost student achievement in math and science.
D0	D1	D1	• Reducing out-of-field teaching. You will challenge states and school districts to reduce the percentage of math and science teachers without a major or minor in their subject area. The average K-8th grade math teacher takes only three undergraduate math courses. Twenty-eight percent of secondary math teachers lack a major or minor in their subject area, as do 18% of secondary science teachers and 55% of physics teachers.
D0	D1	D1	• Rigorous Tests for New Teachers. You will challenge states to require all new teachers of math and science to pass challenging tests of math or science knowledge and teaching proficiency. With nearly half of our nation's teaching force to be replaced over the next several years in order to accommodate growing student enrollments and an aging teaching force, raising standards of teaching now can boost the quality of our schools for decades.
D0	D1	D1	• A Call to Action for Schools, Students, and Parents. You will challenge schools to offer -- and students to take -- tough math and science courses throughout middle school and high school. Only 25% of U.S. students take algebra before high school, and only 25% of U.S. high school students take physics before graduating. You will challenge parents to insist that school districts provide ways of showing how children are doing compared to national standards and international benchmarks. Today, parents have no way of finding out how their children do compared to the international standards in TIMSS.
D0	D1	D1	You will also announce the following new on-line resources for parents, students, and teachers:
D0	D1	D1	"• ""Federal Resources for Educational Excellence"" (FREE) Web-site. A new website is available today to connect teachers, parents, and students to teaching and learning resources in math, science, and other subject areas from NASA, the Energy Department, the National Science Foundation, and other agencies."
D0	D1	D1	• The TIMSS On-Line Challenge. The U.S. Department of Education will launch this fall a website that puts TIMSS math and science problems on-line. This will enable parents to give a quiz to their children, learn what their children should know in math and science, and learn how their children are doing compared to students from other countries.
D0	D1	D1	Summary of the TIMSS Results: TIMSS showed that U.S. 12th graders scored among the lowest of2I nations in general math and science, with the U.S. outperforming only Cyprus and South Africa. Performance of U.S. 12th graders in advanced math and physics courses also lagged behind their peers from other nations. The 12th grade findings completed a multi-year study showing U.S. 4th graders near the first in the world in science and above average in math, with U.S. 8th graders slightly above the international average in science and below the international average in math. The 21 nations participating in the 12th grade study were the U.S., Canada, Australia, and many European nations. No Asian countries participated in the 12 grade tests. (See attachment of how the U.S. ranks compared to each participating country for all three grades.)
D0	D1	D1	While there is not yet an analysis of the 12th grade TIMSS, an analysis was done of the 8th and 4th grade TIMSS. The analysis found that U.S. curriculum was less advanced, and that it covered more subjects superficially rather than a few subjects in depth. The analysis also showed that U.S. teachers often do not get as much training as those in other nations.
D0	D1	D1	Although other tests (including the National Assessment of Educational Progress) show that U.S. student achievement is improving, TIMSS makes clear these improvements are not rapid enough to keep pace with other nations in an increasingly global economy. Springbrook High School
D0	D0	D0	Springbrook High School is a good school with above-average test scores. Although the school has a solid math and science program, it is not particularly stronger than any of the other academic areas taught in the school. Springbrook has a very diverse student body (35% African American, 20% Asian, 16% Hispanic, 28% white), and it enrolls a total of 2,200 students.
D0	D0	D0	[NOTE: Last week Springbrook High School held its first Anti-Violence Week, to honor one Springbrook student and one fonner student who were killed within the last year. Fonner Springbrook student Alfredo Enrique Tello, Jr. was brutally killed at age 19. Samuel Sheinbein (who fled to Israel) and Aaron Needle are charged with the murder. Two months later a Springbrook student Elmer Flores was killed in a robbery.]
T0	T0	T0	III. PARTICIPANTS Briefing Participants: Secretary Riley Secretary Pena Bruce Reed Rahm Emanuel Mike Cohen
T0	T0	T0	"Event Participants: Secretary Richard Riley Secretary Federico Pena Governor Parris Glendening, Maryland Governor Cecil Underwood, West Virginia Mayor Richard Daley, Chicago, IL Mayor Richard Riordan, Los Angeles, CA Mayor Lee Clancey, Cedar Rapids, IA William Schmidt, National Coordinator for TIMSS, Professor, Michigan St. University Rudy Crew, Chancellor of New York City Schools Diane Ravitch, Former Assistant Secretary of Education in the Bush Administration. Currently, a Senior Fellow at Brookings and Research Professor at New York University. Bruce Alberts, President of the National Academy of Sciences Neil Lane, President of the National Science Foundation Bill Nye, Host of Weekly Television Show, ""Bill Nye The Science Guy"" Alan Wurtzel, Vice Chairman of the Board, Circuit City Wilmer Cody, Chair of the Chief State School Officers and Commissioner of Education in Kentucky Robert Moses, Director of the Algebra Project, which helps disadvantaged students prepare for rigorous math classes Bob Chase, NEA President Sandy Feldman, AFT President Nancy Grasmick, Superintendent of Schools, Maryland Migues Nevarez, President of University of Texas Pan American Walter Secada, Professor of Math and Science Education at the University of Wisconsin, and Director of the Department of Education Regional Comprehensive Assistance Center Cindy Mayorga, Springbrook High School Student Cyrus Ishikawa, Springbrook High School Math and Physics Teacher Congresman Wynn Senator Sarbanes"
D0	D0	D0	IV. PRESS PLAN MEETING: Pool Press for Opening Statement. Meeting is then Closed Press. SPEECH: Open press remarks before the student body.
D0	D0	D0	V. SEQUENCE OF EVENTS - YOU will be greeted at the school by Principal Mike Durso, Governor Glendening, Superintendent of Schools Nancy Grasmick, and Members of Congress. •You will also be greeted by Michael Cohen's son, Ross, who attends Springbrook. - YOU will enter the media center and take your seat at the table. (All other participants will already be seated.) - The Pool will enter the room. - YOU will make a statement to the press and invite Secretary Riley to make remarks. - Sec. Riley will make remarks and introduce Bill Schmidt, TIMSS Nat'l Coordinator. - Bill Schmidt will briefly review the TIMSS findings, then the pool will depart. - YOU will begin the meeting by calling on Secretary Pena to briefly describe the Energy Department's commitment to Science education. - YOU will then open the meeting by calling on each participant to speak. Each participant will give a brief statement on their view of the improvements that can be made in math and science education, and you are free to respond. (YOU should begin by calling on the Governors and Mayors present.) · - IO minutes prior to the close of the meeting Bill Nye will depart to the auditorium, where he will do a brief pre-program for the students. - Secretary Riley will help bring the meeting to a close. - YOU will thank participants and then depart.
D0	D0	D0	Speech to the Student Body: - YOU will be announced onto the stage accompanied by the school Principal and Secretary Riley. -The Principal will make brief remarks and introduce YOU. - YOU will make remarks. - YOU will work a ropeline, and then proceed to the overflow room. - YOU will make very brief, informal remarks, and then depart.
D0	D0	D0	VI. REMARKS Provided by Speechwriting.
D0	D0	D0	DISCUSSION POINTS FOR EDUCATION MEETING
D0	D1	D1	(l) Improving performance is critical to U.S. economic growth and individuals personal opportunities • Most of the highest growth areas in our economy are in areas that require strong math and science skills (e.g., information technology, health professions, systems analysts, engineers). • Almost 90% of new jobs require more than a high school level of literacy and math skills. • For students to get on the road to college and high paying jobs, math and science skills are critical. Students who take algebra and geometry go to college at much higher rates (83% vs. 36%) than those who don't.
D0	D1	D1	(2) We must have higher standards and expectations in middle and high school mathematics and science. • In grades 4-8, students in other nations are studying algebra, geometry and other topics, while U.S. students continue to be taught primarily arithmetic. • The content taught in U.S. eighth-grade mathematics classrooms is generally at a seventh grade level compared to the 40 other nations in the TIMSS_ study. • A recent international comparison of science and math examinations for collegebound students by the AFT shows that our SAT, ACT, and AP exams are much less rigorous than similar exams from other nations. • The standards of state assessments vary widely, and many 8th grade mathematics assessments are less rigorous than the NAEP standards. The voluntary national tests will help address this.
D0	D1	D1	(3) Students should take four years of rigorous high school mathematics and science. • Only 25% of U.S. high school students take physics and only 10% take calculus. Most students do not take four years of high school mathematics and science. Even among college bound students, less than half do so. • Businesses can demonstrate the importance of a rigorous course of study by looking at student transcripts when making hiring decisions. The U.S. Chamber of Commerce, the National Alliance of Business, and the Business Roundtable are encouraging employers to do this.
D0	D1	D1	"(4) U.S. curriculum should be more focused, instead of covering more subjects superficially. • At 8th grade, U.S. mathematics and science curriculum is less focused than that of other nations --""a mile wide and an inch deep."" The typical U.S. 8th grade mathematics textbook covers 35 topics while the typical Japanese 8th grade textbook covers 7."
D0	D0	D1	(5) Teachers must be prepared to teach challenging math and science. • The average K-8 teacher of mathematics takes only 3 undergraduate math courses. In high school, in 1993-94, 28% of mathematics teachers, 18% of general science teachers and 55% of physics teachers were teaching out-of-field, meaning that they have neither a major nor a minor in the subject they teach. • TIMSS found that in a typical U.S. classroom, students are drilled to learn how to repeat how the teacher solves a problem. In Japan, students are asked to solve problems and then present their methods and solutions to the class in order to increase their own understanding. • This is why it is essential that states require new teachers to take rigorous tests of their knowledge and skills, that states and districts reduce the number of out-offield teachers, and that colleges and universities commit to recruiting and preparing more top-notch math and science teachers.
D0	D0	D1	"(6) Our students do not start behind, they fall behind. • In comparison with students in other nations U.S. 4th graders students are above average in mathematics and second only to Korea in science. • The strong performance of the ""First in the World Challenge"" districts north of Chicago show that with the right effort, our students can be first in the world."
D0	D0	D1	(7) U.S. achievement in mathematics and science is improving, but not fast enough. • The achievement of U.S. students has improved in the last decade as shown by higher scores on the NAEP, SAT, and ACT. • TIMSS and other international assessments show that other nations are also improving. Thus, to improve our relative international standing and remain competitive in the increasingly global economy, we must redouble our efforts.
D0	D0	D0	(8) U.S. student~ are mastering the basics of computation but have troubles with more advanced content and skills • Both NAEP and TIMSS show that our students do well in the basics of computation. 79% of 8th graders can add, subtract, multiply and divide. • Our students have trouble with more advanced content (geometry, measurement, algebra) and with solving multi-step problems.
D0	D0	D0	(9) We must destroy the myth that math and science are only for a few students. • Surveys show that about half of middle and high school students say they will drop math and science as soon as they are able to -- even if they want to go into fields such as engineering or medicine that require math and science knowledge.
D0	D0	D0	"PARTICIPANTS IN MEETING ON MATH AND SCIENCE EDUCATION Secretary Richard Riley Secretary Federico Pena Governor Parris Glendening, Maryland Governor Cecil Underwood, West Virginia Mayor Richard Daley, Chicago, IL Mayor Richard Riordan, Los Angeles, CA Mayor Lee Clancey, Cedar Rapids, IA William Schmidt, National Coordinator for TIMSS, Professor at Michigan State University Rudy Crew, Chancellor of New York City Schools Diane Ravitch, Former Assistant Secretary of Education in the Bush Administration. Currently, a Senior Fellow at Brookings and Research Professor at New York University. Bruce Alberts, President of the National Academy of Sciences Neil Lane, President of the National Science Foundation Bill Nye, Host of Weekly Television Show,""Bill Nye The Science Guy"" Alan Wurtzel, Vice Chairman of the Board for Circuit City, and Chair of the National Alliance of Business Task Force on Education Standards Wilmer Cody, Chair of the Chief State School Officers and Commissioner of Education in Kentucky Robert Moses, Director of the Algebra Project, which helps disadvantaged students prepare for rigorous math classes Bob Chase, NEA President Sandy Feldman, AFT President Nancy Grasmick, Superintendent of Schools, Maryland Migues Nevarez, President of University of Texas Pan American Walter Secada, Professor of Math and Science Education at the University of Wisconsin, and Director of the Hispanic Dropout Project Cindy Mayorga, Springbrook High School Student Cyrus Ishikawa, Springbrook High School Math and Physics Teacher Congresman Wynn Senator Sarbanes"
T0	T0	T0	Christa Robinson 03/09/98 12:47:53 PM Record Type: Record To: Michelle Crisci/WHO/EOP, Bruce N. Reed/OPD/EOP, Michael Cohen/OPD/EOP, Elena Kagan/OPD/EOP cc: Subject: Latest TIMSS Roundtable Participant List
T0	T0	T0	"CONFIRMED TO ATTEND: Governor Tom Underwood, West Virginia Mayor Richard Daley, Chicago Mayor Lee Clancey, Cedar Rapids, 10 (Also serves on US Conf. of Mayors Education Committee as Vice Chair for Elementary and Secondary Education) Ed Rust, CEO of State Farm Insurance Rudy Crew, Chancellor of New York City Schools Bob Chase, NEA President Sandy Feldman, AFT President William Schmidt, National Coordinator for TIMSS, Professor at Michigan State University Diane Ravitch, Asst. Secretary of Education in the Bush Administration Bruce Alberts, President of the National Science Foundation Bill Nye, ""the Science Guy"" Sister Lourdes Sheehan, Chief Administrator of Catholic Education at the Nat'I Catholic Educational Association Bill Codie, Chair of the Chief State School Officers and Commissioner of Education in Kentucky"
T0	T0	T0	INVITED: Robert Moses, Director of the Algebra Project, which helps disadvantaged students prepare for rigorous math classes. Rachel Evangeline Newman-Turner, Maryland Math Teacher Local School Board Member (tbd)
T0	T0	T0	Michael Cohen  03/05/98 01:38:31 PM  Record Type: Record To: Bruce N. Reed/OPD/EOP, Elena Kagan/OPD/EOP cc: Subject: TIMSS update
D0	D0	D0	I now have confirmations from Ed Rust, (State Farm CEO), Mayor Daley, Rudy Crew, Diane Ravitch and Bill Schmidt (Mr. TIMSS). I should get confirmation from Feldman and Chase shortly; their staff were working on rearranging their schedules.
D0	D0	D0	I'll provide additional updates on other participants as soon as I have them.
D0	D0	D0	are just about there--as soon as I can tell them what time the meeting is, they can complete
T0	T0	T0	Michael Cohen 03/02/98 07:50:05 PM Record Type: Record To: Elena Kagan/OPD/EOP cc: Bruce N. Reed/OPD/EOP Subject: TIMSS for tomorrow morning
D0	D1	D1	If it helps, here is a first cut at a meeting list:
D1	D1	D1	• Lou Gerstner, IBM • Ed Rust, State Farm (head of National Alliance of Business, Business Roundtable Education Task Force, and new member of ACHIEVE Board. • Gov. Engler or Gov. Voinavich (the political people here will go nuts over Engler, but he's the best R gov. if we want to use this to move our testing agenda forward. • Gov. Hunt, Gov. Romer or Gov. Carper • Diane Ravitch • Mayor Daley or another mayor into education (if Rahm really wants a mayor) • Bill Schmidt (head of TlMSS study) • Norma Paulus, Oregon state superintendent of education • Paul Kimmelman or another representative of Chicago-area 1st in world consortium • 2 outstanding math/science teachers • Bob Corrigan, President of Cal. State U system, or Richard Atkinson, President of UC system (and former head of NSF in Carter Administration) • Hugh Price • a few scientists/mathematicians, and a few people who would add greater diversity to the list. • Bab Chase and Sandy Feldman if we want them
D0	D1	D1	This list is too long--and will take some work to keep to a manageable size and still give us what we need.
D1	D1	D1	A Wednesday announcement -· almost two weeks before the meeting--is a guarantee that we will spend considerable time between now and then dealing with people who are ticked off that they are not invited, or represented in some way.
T0	T0	T0	Jonathan H. Schnur 02/23/99 07: 10:45 PM Record Type: Record To: Bruce N. Reed/OPD/EOP, Elena Kagan/OPD/EOP cc: Subject: Possible Troops to Teachers amendment to ed-flex bill
D1	D1	D1	One of the possible amendments to the ed-flex bill is an amendment from Lieberman adding a Mccain-Lieberman Troops to Teachers bill. I am reviewing the bilI tonight, but I think it differs from our Troops to teachers plan -- most important in that it limits participation in the program to retiring military.  We have said our proposal would support other mid-career professionals as well. I'll read the bill and have more information on this tomorrow morning, but I wanted to give you a heads-up on this.
T0	T0	T0	Michael Cohen 06/10/98 02:17:29 PM Record Type: Record To: Bruce N. Reed/OPD/EOP, Elena Kagan/OPD/EOP cc: Subject: POTUS on vouchers
D0	D0	D0	"FYI--POTUS is in fact consistent on this issue; I checked the statement that Riley put out after the '96 debate (after he said something to the effect of "" ... if people in Milwaukee or Cleveland want to have vouchers, I say 'let 'er rip'),"
D0	D0	D0	According to this statement that was carefully negotiated with his Secretary of Education, the President: 1. opposes the use of federal funds for vouchers 2. believes the use of state or local funds for vouchers are state or local decisions 3. as he said about the 1995 Cal. voucher ballot initiative, the President would personally oppose state or local voucher plans if he were a voter in a state or locality.
T0	T0	T0	Michael Cohen 06/10/98 01:29:26 PM Record Type: Record To: See the distribution list at the bottom of this message cc: Subject: edited voucher Q&A
D1	D0	D1	Attached is a slightly edited answer for the voucher question --clarifying that the President opposes using federal funds for vouchers:
D1	D0	D1	Q. The Wisconsin Supreme Court ruled today that the private school voucher program in Milwaukee is constitutional. In light of the President's opposition to school vouchers, what is his view of this decision?
D1	D0	D1	The President has not had a chance to review the Court decision. However, the President is opposed to using federal funds for school vouchers because he believes that we must use public funds to strengthen our public schools. We must raise standards, increase accountability, expand public school choice, and invest taxpayer resources in the steps that will make a difference, such as reducing class size, improving teaching, and modernizing our school buildings. He is opposed to diverting federal funds away from the public schools, which serve 90% of the students, when the needs there are so great. The Wisconsin Supreme Court decision does not changes these views, nor the President's opposition to private school vouchers.
T0	T0	T0	Message Sent To: Joseph P. Lockhart/WHO/EDP Barry J. Toiv/WHO/EOP Joshua Silverman/WHO/EOP Nanda Chitre/WHO/EOP Elizabeth R. Newman/WHO/EOP Bruce N. Reed/OPD/EOP Elena Kagan/OPD/EOP
T0	T0	T0	Michael Cohen  06/03/98 06:58:46 PM Record Type: Record To: Bruce N. Reed/OPD/EOP, Elena Kagan/OPD/EOP, Jose Cerda 111/0PD/EOP cc: Subject: Drug Free Neighborhoods Act Alert
D0	D0	D0	I just got a heads up from the Education Department and Kennedy's staff that the Coverdell-Craig-Abraham Drug-Free Neighborhoods Act amendment to the Tobacco bill may well contain a provision, offered last year by Senate Republicans, that allows federal funds to he used to give vouchers to kids who are victims of school violence, including drug-related crimes.
D0	D0	D0	"The overview/summary of the bill reads: DRUG-FREE SCHOOLS: makes it an allowable use of federal funds to provide school choice or compensation for k-12 students who are the victims of school violence, including drug-related crimes .... """
D1	D1	D1	In the education world, a tobacco bill that doesn't have class size reduction but does provide for vouchers would be seen as a complete disaster. I don't know where things stand in the negotiations over this amendment, but it would be great if we could indicate that this particular provision would be a deal breaker. Otherwise, the R's may be using this to set the Dems up to take responsibility for bringing down the tobacco bill.
T0	T0	T0	EXECUTIVE OFFICE OF THE PRESIDENT OFFICE OF MANAGEMENT AND BUDGET WASHINGTON, 0. C. 20503 October 30, 1997 (House)
T0	T0	T0	STATEMENT OF ADMINISTRATION POLICY (THIS STATEMENT HAS BEEN COORDINATED BY OMB WITH THE CONCERNED AGENCIES.)
T0	T0	T0	H.R. 2746 – Helping Empower Low-income Parents (H ELP) Scholarships Amendments 1997 (Rep. Riggs (R) CA and 11 others)
D0	D0	D0	The Administration strongly opposes H R. 2746. If the bill were presented to the President, his senior advisers would recommend that the bill be vetoed. Under H.R. 2746, States and local school districts could provide vouchers for basic instruction in private schools, using funds that are otherwise available for the supplemental costs of education reform under Title VI of the Elementary and Secondary Education Act of 1965. Federal funding of private school vouchers is bad policy because it would divert needed attention and resources from the Nation's public schools, which serve approximately 90 percent of students in kindergarten through twelfth grade.
T0	T0	T0	Wiliam R. Kincaid 10/29/97 07:36:34 PM Record Type: Record To: Bruce N. Reed/OPD/EOP, Elena Kagan/OPD/EOP, Michael Cohen/OPD/EOP cc: Tanya E. Martin/OPD/EOP bcc: Subject: Re: House Vouchers/Charters
D1	D1	D1	The problematic rule and these two bills are now expected to come up on the House floor tomorrow (Thursday); Andy Blocker has confirmed that Democratic leadership will be opposing the rule; the question is whether any moderate Republicans who support charter schools and don't want to mess up the Riggs-Roemer bill will vote against it as well. Jon Schnur is letting John Doerr's folks know about this, because they have a strong interest in charter schools, and is also getting the word out to some in the charter schools community, who probably wouldn't want to see the bill fouled up.
T0	T0	T0	William R. Kincaid
T0	T0	T0	William R. Kincaid 10/29/97 12:31 :59 PM Record Type: Record To: Bruce N. Reed/OPD/EOP, Elena Kagan/OPD/EOP, Michael Cohen/OPD/EOP cc: Tanya E. Martin/OPD/EOP Subject: House Vouchers/Charters
D0	D0	D0	"fyi -- As we had heard was a possibility, for House floor consideration, Goodling has requested a ""self-executing"" rule, under which the voucher bill (HELP) would come up first, then the charter schools bill, and then once both bills have passed the voucher bill would automatically be added to the charter bill before it goes over to the Senate."
T0	T0	T0	PRESIDENT WILLIAM J. CLINTON STATEMENT ON SCHOOL VOUCHER VOTE SEPTEMBER 30, 1997
D0	D0	D0	In the 21st century, our children must have the best education in the world. I am committed to making sure every eight-year old can read, every l 2-year old can log on to the Internet. and every I 8-year old can go to college. And we have made significant progress to improve and strengthen public education.
D0	D0	D0	But as Congress continues to debate the Education Bill this fall, it's become very clear that there some who are waging a multi-front war against our public schools.
D0	D0	D0	First, the Senate has passed an amendment that would virtually kill the Department of Education and abolish some of its most successful efforts to expand public school choice, to bring computers to every classroom, to create more safe and drug-free schools.
D0	D0	D0	Second, the House of Representatives has voted to prevent America from setting the high national standards of academic excellence that we must have to ensure every child masters the basics.
D0	D0	D0	I have vowed to veto both pieces of legislation. And I am pleased that 43 Democratic Senators have announced their intention to support high national standards and sustain my veto. Third, in a vote to occur today, some in Congress would diminish our country's commitment to public education by siphoning badly-needed funds away from our public schools into a voucher program that would support private education for a limited number of students. Ninety percent of America's children attend public schools. Our public schools are already facing a host of challenges with very limited funds. And we must continue to support proven reform efforts -- making schools safer, getting parents more involved, raising standards and improving teaching.
D0	D0	D0	Education has always been a public enterprise in America. Public schools are the cornerstone of American democracy. Throughout history, we have always recognized our common responsibility for preparing all our young for the challenges of the future and duties of citizenship. I call upon Congress to stand by our public schools, not walk away from them.
T0	T0	T0	Michael Cohen 05/23/97 04:53:20 PM Record Type: Record To: Elena Kagan/OPD/EOP cc: Laura Emmett/WHO/EOP Subject: Weekly CORRECTION
D1	D0	D0	Elena-- on the voucher amendment, Lott did not introduce this; Dominici did for Coverdale. See how much confusion is rampant on this?
D1	D1	D1	I would stress in the weekly (1) that it happened; (2) that is was occasioned by confusion; it happened quickly, the amendment was so poorly drafted that it is unimplementable; (3) that it provides something of a symbolic victory but one that we can and will downplay because of the confusion.
T0	T0	T0	Subject: Education amendment
D1	D1	D1	The education amendment adopted in the Senate by a vote of 51-49 (Domenici voting for) was intended to allow the Labor Committee to fund school vouchers for children who are the victims of crime. It is basically not implementable although it does change budget resolution numbers. The amendment came in the form of a second degree to the Wellstone amendment (the Republicans wanted to avoid an up or down vote on Well stone).
D0	D1	D1	The text of the amendment states the intent as described above, and simply strikes Wellstone number changes and inserts an additional (not offset) $2.5 billion in 2000 in budget authority for Function 400, it also adds an additional $2.5 billion in budget aggregates. Outlays are not changed, the discretionary caps are not changed, nor is the Labor Committee reconciled the additional spending. Since the stated intent of the amendment is not binding, the only effect of this amendment is to increase Function 400 education spending (budget authority only) in the year 2000.
D1	D1	D1	During the debate, there was a great deal of confusion about the amendment and and many members (including possibly Senator Domenici) apparently thought it was a Sense of the Senate. The education community is concerned that some will represent this as a test vote on vouchers (the Senate has always filibustered vouchers in the past) but I'd chalk it up to confusion and play down the voucher piece of this.
D1	D1	D1	In any event, there is common agreement internally that the amendment should be dropped in conference.
T0	T0	T0	PREDECISIONAL DRAFT DO NOT QUOTE OR CITE
T0	T0	T0	DISCUSSION PAPER:
T0	T0	T0	1. Background
D0	D1	D0	Developed countries are responsible for more than 75% of the increase in greenhouse gas concentrations since the beginning of the Industrial Revolution. In the decades ahead, however, emissions from developing countries are expected to grow sharply. By 2035, developing country emissions are expected to exceed those from the developing world.
D0	D1	D0	Per capita emissions vary widely. Carbon emissions from the United States are roughly 5 tons per person; from the OECD as a whole, roughly 3.5 tons per person; and from developing countries as a whole, roughly 0.5 tons per person.
D0	D1	D0	"The Framework Convention on Climate Change, signed at the Rio ""Earth Summit"" in 1992, established differentiated levels of commitments for developed and developing countries. It called upon developed countries to take the lead in addressing climate change and to aim to return emissions to 1990 levels by the year 2000. It called upon developing countries to adopt policies and measures to address climate change, but provided no aim for developing countries similar to the year 2000 goal. These differentiated commitments were intended to recognize both the unequal contribution of developed and developing countries to global greenhouse gas concentrations and the unequal capacity of those countries to control emissions."
D0	D1	T0	"In 1995, in Berlin, the Parties to the climate treaty agreed to negotiate steps for controlling greenhouse gas emissions beyond the year 2000. The negotiating mandate calls on developed countries to set quantified emissions limits for the ""medium term ( e.g. 2005, 2010 and 2020)."" In Berlin, the United States argued strongly that developing countries must participate meaningfully in negotiations over next steps. There was little support for the U.S. position on this point, with many Parties noting the failure of most developed countries to take significant steps toward meeting the year 2000 goal. The Berlin Mandate states that there will be ""no new commitments"" for developing countries in the current round of negotiation, but that developing countries will be required to advance the implementation of their existing commitments."
T0	T0	T0	2. Kyoto Negotiations: Current Status
D0	D1	D1	This is the most difficult issue in the current round of negotiations. There is a vast gulf between the dialogue abroad (where the U.S. proposal for developing country participation is almost uniformly considered too aggressive) and at home (where more than 60 Senators have signed a resolution insisting on developing country commitments beyond those contemplated in either the U.S. proposal or current negotiating mandate).
T0	T0	T0	PREDECISIONALDRAFT DO NOT QUOTE OR CITE
T0	T0	T0	A. U.S. Protocol Proposal
